id,driving_children,dob,age,home_children,years_on_job,income,single_parent,home_value,marital_status,gender,education,occupation,travel_time,car_use,vehicle_value,time_in_force,car_type,red_car,total_claims_5_years,claims_frequency_5_years,license_revoked,vehicle_points,claims_amount,car_age,claims_flag_crash,city_population
63581743,0,1939-03-16,60,0,11,67349,0,0,0,M,PhD,Professional,14,Private,14230,11,Minivan,1,4461,2,0,3,0,18,0,Urban
132761049,0,1956-01-21,43,0,11,91449,0,257252,0,M,High School,Blue Collar,22,Commercial,14940,1,Minivan,1,0,0,0,0,0,1,0,Urban
921317019,0,1951-11-18,48,0,11,52881,0,0,0,M,Bachelors,Manager,26,Private,21970,1,Van,1,0,0,0,2,0,10,0,Urban
727598473,0,1964-03-05,35,1,10,16039,0,124191,1,F,High School,Clerical,5,Private,4010,4,SUV,0,38690,2,0,3,0,10,0,Urban
871024631,0,1965-05-05,34,1,12,125301,1,0,0,F,Bachelors,Blue Collar,46,Commercial,17430,1,Sports Car,0,0,0,0,0,2946,7,1,Urban
792300541,0,1945-02-28,54,0,7,18755,0,0,1,F,High School,Blue Collar,33,Private,8780,1,SUV,0,0,0,0,0,0,1,0,Urban
7945239,1,1959-09-17,40,1,11,50815,1,0,0,M,High School,Manager,21,Private,18930,6,Minivan,0,3295,1,0,2,6477,1,1,Urban
3577610,0,1955-08-21,44,2,12,43486,1,0,0,F,High School,Blue Collar,30,Commercial,5900,10,SUV,0,0,0,0,0,0,10,0,Rural
892208080,1,1961-12-14,37,2,10,107961,0,333680,1,M,Bachelors,Blue Collar,44,Commercial,16970,1,Van,1,2374,1,1,10,4021,7,1,Urban
77382913,0,1964-11-22,34,0,10,62978,0,0,0,F,Bachelors,Clerical,34,Private,11200,1,SUV,0,0,0,0,0,2501,1,1,Urban
856886560,0,1949-10-22,50,0,7,106952,0,0,0,M,Bachelors,Professional,48,Commercial,18510,7,Van,0,0,0,0,1,0,17,0,Rural
308455362,0,1945-12-25,53,0,14,77100,0,0,0,F,Masters,Lawyer,15,Private,18300,1,Sports Car,0,0,0,0,0,6077,11,1,Urban
989828809,0,1956-06-19,43,0,5,52642,0,209970,1,F,Masters,Professional,36,Private,22420,7,Minivan,0,0,0,0,0,0,1,0,Rural
376482434,0,1944-03-03,55,0,11,59162,0,180232,1,M,Bachelors,Manager,25,Commercial,17600,7,Van,1,5028,2,1,3,0,9,0,Urban
588888550,0,1954-01-17,45,0,0,0,0,106859,1,F,High School,Home Maker,48,Private,6000,1,SUV,0,0,0,0,3,2920,5,1,Urban
140015922,0,1960-08-06,39,3,12,51884,1,180951,0,F,Bachelors,Clerical,43,Private,10590,6,SUV,0,0,0,0,0,0,13,0,Rural
162166370,0,1940-04-19,59,0,12,87460,0,0,0,M,High School,Manager,45,Private,15420,1,Minivan,1,44857,2,0,4,4111,1,1,Urban
884513944,0,1956-12-20,42,0,11,59945,0,192207,1,M,Masters,Lawyer,42,Private,14190,6,Minivan,0,0,0,0,0,0,16,0,Urban
627708979,0,1965-09-14,34,3,13,34019,0,91875,1,F,Masters,Lawyer,27,Private,8300,7,SUV,0,0,0,0,0,0,20,0,Urban
116375554,0,1968-10-06,31,2,12,18903,0,93797,1,F,High School,Clerical,48,Private,17330,4,Minivan,0,0,0,0,0,0,7,0,Urban
235358484,0,1971-02-22,28,1,13,44077,0,170598,1,F,High School,Blue Collar,29,Commercial,8710,6,SUV,0,8935,2,0,0,6857,1,1,Urban
528040687,0,1956-02-07,43,0,13,37214,0,0,1,M,High School,Blue Collar,52,Commercial,26560,1,Panel Truck,1,0,0,0,3,3627,1,1,Urban
652572577,0,1950-12-16,48,0,14,96274,0,282904,1,F,Masters,Lawyer,36,Private,11130,6,SUV,0,8250,1,0,5,0,14,0,Urban
410873772,0,1952-07-24,47,0,11,46281,0,0,0,F,High School,Blue Collar,29,Private,19700,10,Minivan,0,0,0,0,1,0,5,0,Urban
254362485,2,1955-07-06,44,2,0,0,0,82344,1,F,High School,Home Maker,8,Private,5900,6,SUV,0,3338,3,0,0,0,11,0,Urban
201327208,0,1938-12-14,60,0,12,37940,0,182739,1,F,High School,Blue Collar,16,Commercial,11290,1,Sports Car,0,0,0,0,0,5247,1,1,Urban
573751437,0,1965-12-14,33,1,13,79606,0,225962,1,F,Bachelors,Professional,27,Private,16830,9,SUV,0,0,0,0,2,0,15,0,Rural
483050926,0,1967-04-17,32,1,9,31275,0,118160,1,F,High School,Clerical,26,Private,10030,1,SUV,0,0,0,0,0,4486,1,1,Urban
146989842,1,1955-04-09,44,2,17,45488,0,219378,1,M,Bachelors,Manager,16,Private,22090,17,Minivan,0,0,0,0,0,0,12,0,Urban
742435591,0,1964-04-05,35,0,8,72193,0,0,0,F,Bachelors,Clerical,26,Private,12220,6,SUV,0,0,0,0,3,0,12,0,Urban
66662029,0,1950-02-14,49,0,5,49244,0,163444,1,M,Bachelors,Clerical,30,Private,15880,1,Minivan,0,0,0,0,1,0,1,0,Urban
294816298,2,1963-08-03,36,2,12,130540,1,344195,0,F,Bachelors,Blue Collar,5,Commercial,27200,4,Minivan,0,0,0,0,0,0,9,0,Rural
686791659,0,1947-05-07,52,0,8,51278,0,230340,1,F,Bachelors,Professional,37,Private,1500,4,SUV,0,0,0,0,1,0,10,0,Urban
396972296,0,1960-07-26,39,0,10,35081,0,202839,1,M,Bachelors,Blue Collar,38,Commercial,16640,4,Van,1,0,0,0,0,0,13,0,Urban
364483168,0,1943-04-09,56,0,0,0,0,63827,1,F,PhD,Home Maker,65,Private,13220,1,Minivan,0,0,0,0,0,0,12,0,Rural
866093378,0,1950-03-07,49,0,12,115044,0,311980,0,F,PhD,Doctor,18,Private,17900,1,Minivan,0,0,0,0,0,0,14,0,Urban
515421877,0,1961-05-30,38,0,11,37754,0,138823,1,F,High School,Clerical,47,Private,12080,1,SUV,0,0,0,0,2,0,9,0,Rural
745183922,0,1949-06-30,50,0,8,167469,0,0,0,F,PhD,Doctor,22,Private,34150,4,Sports Car,0,0,0,0,3,0,1,0,Urban
298271736,0,1936-11-04,63,0,15,121398,0,343410,1,F,PhD,Doctor,10,Private,16270,1,SUV,0,0,0,0,0,0,11,0,Urban
70821537,0,1947-08-12,52,0,0,0,0,87925,0,F,High School,Student,48,Commercial,9280,1,SUV,0,0,0,0,1,0,6,0,Rural
258951025,0,1964-10-24,35,0,7,14508,0,0,1,M,Bachelors,Student,22,Commercial,6450,1,Pickup,0,0,0,0,0,0,7,0,Urban
807174588,0,1956-11-16,43,0,13,75338,0,270555,1,F,Bachelors,Manager,40,Private,23080,1,Sports Car,0,0,0,0,0,0,8,0,Urban
514538041,0,1958-10-06,41,0,10,32774,0,0,0,F,High School,Clerical,44,Private,20120,4,Minivan,0,0,0,0,0,0,1,0,Rural
25561360,0,1959-04-08,40,0,11,57474,0,186418,1,M,Bachelors,Clerical,5,Commercial,29270,4,Panel Truck,1,0,0,0,1,0,5,0,Urban
753037176,0,1968-08-07,31,1,12,26520,0,154493,1,M,Bachelors,Student,62,Commercial,4600,6,Minivan,1,0,0,0,2,0,5,0,Urban
31827166,0,1946-01-06,53,0,17,107259,0,343700,1,M,Masters,Professional,36,Private,29230,10,Minivan,1,0,0,0,0,0,15,0,Urban
680782638,0,1960-06-05,39,3,7,34046,0,183383,1,F,High School,Clerical,33,Private,4040,6,SUV,0,0,0,0,0,0,5,0,Rural
883604551,0,1966-05-20,33,3,14,32364,0,152894,1,M,High School,Clerical,40,Private,12270,18,Minivan,1,0,0,0,3,0,1,0,Urban
885280620,0,1959-04-26,40,0,11,16989,0,0,0,M,High School,Blue Collar,20,Commercial,12230,4,Pickup,1,26104,1,1,13,6100,6,1,Urban
931739722,0,1958-07-15,41,2,7,17755,1,148815,0,F,High School,Clerical,29,Private,14480,1,Minivan,1,0,0,1,2,0,1,0,Urban
840809480,0,1963-06-29,36,3,12,56048,0,137836,1,M,Masters,Lawyer,15,Private,10700,6,Minivan,0,2045,2,0,2,0,16,0,Urban
